Time_min,Phase,Alt_ft,Vx_ms,Vz_fpm,Vtotal_ms,Theta_deg,Alpha_deg,Elevator_deg,Throttle_pct,L_over_W,T_over_D
18.9166666666667,Climb3,34716.0461930781,159.485630525809,631.537574439819,159.517860748058,10.2107566523488,9.05888399862167,-6.03912689229132,74.3830568733937,0.982337225635558,1.26475270000754
18.9333333333333,Climb3,34726.5496742829,159.485561800739,628.820490722123,159.517515270256,10.2111218905383,9.0642033671054,-6.04267368261872,74.3520419923366,0.982345662646392,1.26362864362789
18.95,Climb3,34737.0079585665,159.485493151594,626.114202595224,159.517172153806,10.2114860507163,9.06950199177296,-6.04620664169669,74.3211286134372,0.982354073528643,1.26250953587201
18.9666666666667,Climb3,34747.4212255707,159.485424579483,623.418674863316,159.516831382115,10.2118491332499,9.07477993689147,-6.04972581237534,74.2903165997253,0.9823624583073,1.26139535639899
18.9833333333333,Climb3,34757.7896543513,159.485356085513,620.733872385465,159.516492938711,10.212211138542,9.08003726666732,-6.05323123746431,74.25960581261,0.982370817007573,1.26028608493868
19,Climb3,34768.1134233787,159.485287670789,618.059760075539,159.51615680724,10.2125720670305,9.08527404524515,-6.05672295973199,74.2289961118838,0.982379149654909,1.25918170129131
19.0166666666667,Climb3,34778.3927105391,159.485219336412,615.396302902176,159.515822971469,10.2129319191872,9.09049033670687,-6.06020102190497,74.1984873557357,0.982387456274998,1.25808218532727
19.0333333333333,Climb3,34788.6276931352,159.485151083483,612.743465888766,159.515491415283,10.213290695517,9.09568620507069,-6.06366546666729,74.1680794007522,0.982395736893801,1.25698751698659
19.05,Climb3,34798.8185478872,159.485082913098,610.101214113471,159.515162122685,10.2136483965565,9.10086171429005,-6.06711633665984,74.1377721019332,0.982403991537549,1.25589767627883
19.0666666666667,Cruise,34808.8853082887,159.255564711171,588.854752470441,159.256070775532,9.89911011254485,8.71877026615284,-2.50934110320388,50.3121486343875,0.951549314163905,0.894324235166599
19.0833333333333,Cruise,34817.6487392452,159.093299770671,418.97819193735,159.104702372926,7.75933742407483,6.73184309150851,-1.80001256259747,52.3165515160858,0.807149790352307,1.19152285947391
19.1,Cruise,34820.9118664106,159.221810769063,-91.5272259128909,159.251397804918,4.14397830417747,4.07803148191726,-3.57972555857493,49.8440622879423,0.616649266820904,1.62783006383312
19.1166666666667,Cruise,34812.7956446862,159.568152338817,-916.137030280133,159.690560458231,1.22450607957296,2.89007149092239,-5.83029590612857,44.2700397487063,0.533283814841956,1.70799861743865
19.1333333333333,Cruise,34790.26162628,159.992469172728,-1759.21947250187,160.305841334775,0.823654778101038,4.25578650144488,-6.25877527290949,37.464128131115,0.638688321560019,1.17671756315379
19.15,Cruise,34755.9356161037,160.415830186859,-2290.989024423,160.88781945416,2.61431505572328,7.0403902121178,-4.78296103364495,30.4494868984105,0.850020589382805,0.651266257417399
19.1666666666667,Cruise,34716.1059113998,160.761313451998,-2435.23485366324,161.264703097256,4.47732553911131,8.9821853492565,-3.17759948202376,24.4393710751272,0.998511980389885,0.4102167080436
19.1833333333333,Cruise,34675.7126594495,161.00384404382,-2409.88805882536,161.489732017649,4.56535467950239,8.80734880915947,-3.1047269274281,19.603782798474,0.989834555565459,0.33474531849457
19.2,Cruise,34635.0843198513,161.216147061077,-2501.08071206053,161.746972205689,2.90949680815243,7.25034739997887,-4.6585445717442,14.7440483578746,0.878541466077399,0.303302946296907
19.2166666666667,Cruise,34591.1113350385,161.452673779488,-2803.82984471429,162.121461248734,1.17003221455314,6.17122483898709,-6.42872629733896,9.23290289670469,0.802825605514416,0.217268970668076
19.2333333333333,Cruise,34541.2945861009,161.715236344164,-3162.11068438642,162.553315948987,0.941188735243149,6.74348318421481,-6.92619056924887,4.8276353991174,0.851973448142696,0.104775108485007
19.25,Cruise,34486.7190487458,161.987259400033,-3343.35722947381,162.902044500237,2.28798892356118,8.45254703269452,-5.95756911492731,0.797022591274821,0.987250707190926,0.0139138356576861
19.2666666666667,Cruise,34431.3094618269,162.211549017888,-3269.03322525742,163.069054049991,3.83098167772563,9.74711035828571,-4.67477284008959,0,1.08954589179176,0
19.2833333333333,Cruise,34378.4067775467,162.36775226701,-3078.36380441784,163.123513821003,4.16647135146663,9.58623444225653,-4.35881012871445,0,1.08010753412996,0
19.3,Cruise,34328.1423715198,162.490252236897,-2981.82928939199,163.207960318053,3.16495676524704,8.35523153210125,-5.2215168590451,0,0.98914345225212,0
19.3166666666667,Cruise,34277.9756041093,162.639100372108,-3064.04265126964,163.407132905377,1.94098779219404,7.3521322535847,-6.34140998616835,0,0.91610728355577,0
19.3333333333333,Cruise,34225.5564905745,162.835614186549,-3224.05111728847,163.68579432782,1.67560175342907,7.48500515167088,-6.6524765149257,0,0.931274099779632,0
19.35,Cruise,34171.0310892158,163.061263624212,-3292.71711594138,163.938002903758,2.51248961586066,8.47871012429972,-5.95835952730728,0,1.01325754941763,0
19.3666666666667,Cruise,34116.7160718533,163.265846075233,-3201.31230502106,164.083337697576,3.54446172582387,9.27519017541939,-5.02088178694278,0,1.07900832750334,0
19.3833333333333,Cruise,34064.7340084309,163.41473408851,-3036.62996865723,164.146524129006,3.78927513807456,9.12276937809296,-4.72878460381341,0,1.06996447237742,0
19.4,Cruise,34015.0838041458,163.531389214449,-2941.81618128843,164.223526747969,3.12329590827346,8.24878910833916,-5.24577827377264,0,1.00445062771239,0
19.4166666666667,Cruise,33965.9256522158,163.659898875879,-2975.86720231077,164.375089350109,2.29059717514809,7.52592727014695,-5.95116251560778,0,0.951131878889642,0
19.4333333333333,Cruise,33915.5445149675,163.818112264533,-3069.19548488282,164.579247158395,2.09310579383439,7.56964140494233,-6.12525144734743,0,0.958688306902995,0
19.45,Cruise,33863.9466777363,163.991908598056,-3105.38629241007,164.764680663978,2.62714332612715,8.19036687390662,-5.64435408880786,0,1.01194916749562,0
19.4666666666667,Cruise,33812.6254356981,164.14780968344,-3037.80764785743,164.879943967805,3.28237563832022,8.67706553419133,-5.02409729835001,0,1.05394840355608,0
19.4833333333333,Cruise,33762.9377470695,164.266429008864,-2925.39435438461,164.942990003402,3.41398862288042,8.54171945917983,-4.84376175267743,0,1.04583969322042,0
19.5,Cruise,33714.8187185579,164.364514425202,-2862.65597453112,165.015818561038,2.96224906916888,7.95556672975029,-5.18437284801448,0,1.00166392071136,0
19.5166666666667,Cruise,33667.0215323648,164.4707816736,-2884.82495231395,165.136533528261,2.43091223890017,7.49742688036664,-5.61944282751128,0,0.968009297088869,0
19.5333333333333,Cruise,33618.4531981629,164.596225411183,-2942.04369351444,165.28868684847,2.32973462381817,7.54504339198899,-5.69185010146572,0,0.975333329631201,0
19.55,Cruise,33569.1870837083,164.729318584493,-2958.30626913237,165.425153437024,2.68586633255212,7.9404810036302,-5.3569772686135,0,1.0106948398217,0
19.5666666666667,Cruise,33520.2223321869,164.848053596876,-2908.01954385214,165.515738214375,3.08391150931389,8.21538217209228,-4.9695020616344,0,1.03587585204988,0
19.5833333333333,Cruise,33472.384916696,164.94262426386,-2833.77748607647,165.57533556626,3.12734500228838,8.0851581347526,-4.88485023183346,0,1.02781066040518,0
19.6,Cruise,33425.5482951813,165.025277762823,-2795.68906777709,165.643337244567,2.81848109185805,7.69776164307504,-5.11532868121447,0,0.998782089115069,0
19.6166666666667,Cruise,33378.8837788249,165.113839261861,-2810.81596161077,165.741060237134,2.49928809859784,7.42900665851248,-5.36754554680543,0,0.979626784561694,0
19.6333333333333,Cruise,33331.7546928939,165.213742379786,-2842.70197407864,165.854893095341,2.47178543093539,7.48590950428387,-5.37059503549964,0,0.98730996067593,0
19.65,Cruise,33284.2988585904,165.315740652692,-2844.25896953189,165.954629124696,2.71112381705297,7.73021219439701,-5.13608922440293,0,1.01030510175968,0
19.6666666666667,Cruise,33237.176520341,165.406101940608,-2805.07941168524,166.024615413687,2.93724324171978,7.86302047278651,-4.90578183380921,0,1.02382531921587,0
19.6833333333333,Cruise,33190.846122868,165.48093992598,-2756.25519297616,166.077501235579,2.9250890822869,7.73955377821864,-4.88144086930073,0,1.01596537238681,0
19.7,Cruise,33145.1430185822,165.549251996401,-2733.91649477739,166.137602183206,2.7159472362483,7.48750081075494,-5.03359483350239,0,0.9974554097654,0
19.7166666666667,Cruise,33099.528909949,165.621572347082,-2743.18360484479,166.215144950637,2.53709312982055,7.34132522086681,-5.16522947911931,0,0.987854578306543,0
19.7333333333333,Cruise,33053.6695538652,165.699667215534,-2757.75871304519,166.298932521219,2.55138790118527,7.39660295001591,-5.13014310924083,0,0.995093013830318,0
19.75,Cruise,33007.7266150772,165.776501964979,-2750.39665593269,166.370530632251,2.70750181714553,7.53740654578573,-4.9688332101485,0,1.00937000871707,0
19.7666666666667,Cruise,32962.1190473423,165.844163067275,-2719.82196862162,166.423346199586,2.82307833125286,7.58255482822362,-4.84003434300996,0,1.01544624612224,0
19.7833333333333,Cruise,32917.0677369422,165.902052307162,-2688.01919629339,166.467560272994,2.78432539394067,7.47396048699105,-4.84587186035927,0,1.00850420376612,0
19.8,Cruise,32872.4051989904,165.956540476804,-2674.97634757976,166.51741332169,2.64741198274448,7.31469155048442,-4.93992601917529,0,0.99731014988789,0
19.8166666666667,Cruise,32827.7976906917,166.013388931863,-2679.27078616323,166.576536404777,2.55636330678329,7.24194212384887,-4.99647220358245,0,0.993472245945533,0
19.8333333333333,Cruise,32783.0969464959,166.072344336584,-2682.80589192317,166.636278521507,2.58693160766419,7.28603073221464,-4.94740974847731,0,0.999512334289942,0
19.85,Cruise,32738.4535699239,166.128444567447,-2671.33455989847,166.686191302971,2.68250632159069,7.35736229487682,-4.84062368042405,0,1.00776345564111,0
19.8666666666667,Cruise,32694.1165446445,166.177624218292,-2647.97794421372,166.724694787886,2.73137665169386,7.35442827542254,-4.77384748581528,0,1.00958245149863,0
